Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001541922019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Edutus-World Robot Olympiad 2019 rendezv 3 részben,Szolgáltatás megrendelés,679442612.0,HUF,HU21,2019-10-01,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2019-12-29,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-89 days,EKR001541922019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR001545562019,Máv Magyar Államvasutak Zártkörűen Működő Részvénytársaság,10856417244,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Különféle egyszerű és átszelési kitérők beszerzése,Árubeszerzés,1753634000.0,HUF,HU3|HU2|HU1,2020-04-07,1.0,"10655436210,HU10655436",Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34946000-0,Nem,Igen,Nem,2020-04-20,Nem,Nem,Igen,Máv Magyar Államvasutak Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-13 days,EKR001545562019_Vamav Vasúti Berendezések Kft.
EKR001545562019,Máv Magyar Államvasutak Zártkörűen Működő Részvénytársaság,EKRSZ_35803375,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Különféle kitérők beszerzése 2020. IV. negyedév,Árubeszerzés,180390000.0,HUF,HU1|HU2|HU3,2020-10-29,1.0,,Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34946000-0,Nem,Igen,Igen,2021-02-08,Nem,Nem,Igen,Máv Magyar Államvasutak Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-102 days,EKR001545562019_Vamav Vasúti Berendezések Kft.
EKR001545562019,Máv Magyar Államvasutak Zártkörűen Működő Részvénytársaság,EKRSZ_35803375,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Különféle kitérők besz. 2021. II. negyedév,Árubeszerzés,357940000.0,HUF,HU2,2021-03-17,1.0,,Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34946000-0,Nem,Igen,Nem,2021-07-13,Nem,Nem,Igen,Máv Magyar Államvasutak Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-118 days,EKR001545562019_Vamav Vasúti Berendezések Kft.
EKR001545562019,Máv Magyar Államvasutak Zártkörűen Működő Részvénytársaság,EKRSZ_35803375,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Különféle kitérők besz. 2021. II. negyedév,Árubeszerzés,357940000.0,HUF,HU1|HU2|HU3,2021-03-31,1.0,,Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34946000-0,Nem,Igen,Nem,2021-07-13,Nem,Nem,Igen,Máv Magyar Államvasutak Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-104 days,EKR001545562019_Vamav Vasúti Berendezések Kft.
EKR001545562019,Máv Magyar Államvasutak Zártkörűen Működő Részvénytársaság,EKRSZ_35803375,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Különféle egyszerű kitérők besz. 2021. III.,Árubeszerzés,24348000.0,HUF,HU2,2021-08-05,1.0,,Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34946000-0,Nem,Igen,Nem,2021-10-14,Nem,Nem,Igen,Máv Magyar Államvasutak Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-70 days,EKR001545562019_Vamav Vasúti Berendezések Kft.
EKR001566992019,Mfb Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,10644371244,N - Közjogi szervezet,KL - Gazdasági és pénzügyek,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Naplóelemző rendszer bővítése és gyártói követése,Árubeszerzés,67804441.0,HUF,HU11,2019-12-23,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,48000000-8,Igen,Igen,Nem,2021-09-06,Nem,Nem,Igen,Mfb Magyar Fejlesztési Bank Zrt.,Zrt.,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-623 days,EKR001566992019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR001582372019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Villamos váltóállító alkatrészek beszerzése,Árubeszerzés,55607697.0,HUF,HU11,2020-04-08,1.0,"10655436210,HU10655436",Vamav Vasúti Berendezések Korlátolt Felelősségű Társaság,34941000-5,Nem,Igen,Nem,2020-04-22,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,Vamav Vasúti Berendezések Kft.,Kft.,-14 days,EKR001582372019_Vamav Vasúti Berendezések Kft.
EKR001621682019,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Mikulás ünnepség a NISZ Zrt. részére,Szolgáltatás megrendelés,23950000.0,HUF,HU110,2019-11-26,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,2020-02-03,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,-69 days,EKR001621682019_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
EKR000001412020,Nemzeti Kommunikációs Hivatal,15827186241,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,MNV Zrt.humáp. tev. kommunik. mediaügynöks.feladat,Szolgáltatás megrendelés,28000000.0,HUF,HU11,2019-10-16,1.0,"10834730244,HU10834730",Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zártkörűen Működő Részvénytársaság,79950000-8,Nem,Igen,Nem,,Nem,Nem,Igen,Nemzeti Kommunikációs Hivatal,,Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.,Zrt.,,EKR000001412020_Antenna Hungária Magyar Műsorszóró És Rádióhírközlési Zrt.
