Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR001533802019,Pécsi Tudományegyetem,15329798202,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Felvonók karbantartása és eseti hibajavítása,Szolgáltatás megrendelés,117839399.0,HUF,HU231,2020-06-04,2.0,"10392380243,HU10392380",Schindler Hungária Lift És Mozgólépcső Kft,50750000-7,Nem,Igen,Igen,2020-06-30,Igen,Nem,Igen,Pécsi Tudományegyetem,,Schindler Hungária Lift És Mozgólépcső Kft.,Kft.,-26 days,EKR001533802019_Schindler Hungária Lift És Mozgólépcső Kft.
EKR001533802019,Pécsi Tudományegyetem,15329798202,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Felvonók karbantartása és eseti hibajavítása,Szolgáltatás megrendelés,117839399.0,HUF,HU231,2020-06-04,3.0,"10392380243,HU10392380",Schindler Hungária Lift És Mozgólépcső Kft,50750000-7,Nem,Igen,Igen,2020-06-30,Igen,Nem,Igen,Pécsi Tudományegyetem,,Schindler Hungária Lift És Mozgólépcső Kft.,Kft.,-26 days,EKR001533802019_Schindler Hungária Lift És Mozgólépcső Kft.
EKR001535622019,Debreceni Egyetem,15329750409,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-847 Orvosi műszerek beszerzése- ROHU401,Árubeszerzés,72687561.0,HUF,HU321,2020-06-17,2.0,"11909879242,HU11909879,01-10-044186","Medirex Egészségügyi, Kereskedelmi És Szolgáltató Zártkörűen Működő Részvénytársaság",33100000-1,Igen,Igen,Igen,2020-07-02,Igen,Nem,Igen,Debreceni Egyetem,,Medirex Egészségügyi Zrt.,Zrt.,-15 days,EKR001535622019_Medirex Egészségügyi Zrt.
EKR001535622019,Debreceni Egyetem,15329750409,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-847 Orvosi műszerek beszerzése- ROHU401,Árubeszerzés,72687561.0,HUF,HU321,2020-06-04,2.0,"24132880207,HU24132880",MedEn Trade Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,33100000-1,Igen,Igen,Igen,2020-07-02,Igen,Nem,Igen,Debreceni Egyetem,,Meden Trade Orvosi Műszer Kft.,Kft.,-28 days,EKR001535622019_Meden Trade Orvosi Műszer Kft.
EKR001535622019,Debreceni Egyetem,15329750409,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-847 Orvosi műszerek beszerzése- ROHU401,Árubeszerzés,72687561.0,HUF,HU321,2020-06-04,1.0,"25061978241,HU25061978",B. Braun Trading Kft.,33100000-1,Igen,Igen,Nem,2020-07-02,Nem,Nem,Igen,Debreceni Egyetem,,B. Braun Trading Kft.,Kft.,-28 days,EKR001535622019_B. Braun Trading Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,2.0,"10836660243,HU10836660,Igazságügyi Minisztérium",SigmaAldrich Kft.,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Sigmaaldrich Kft.,Kft.,-15 days,EKR001537992019_Sigmaaldrich Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,1.0,"10836660243,HU10836660,Igazságügyi Minisztérium",SigmaAldrich Kft.,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Sigmaaldrich Kft.,Kft.,-15 days,EKR001537992019_Sigmaaldrich Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,1.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,3.0,"10650400209,HU10650400,09-09-001214",Vwr International Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Nem,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Vwr International Kft.,Kft.,-15 days,EKR001537992019_Vwr International Kft.
EKR001537992019,Szegedi Tudományegyetem,15329815206,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Vegyszer, fogyóeszköz GINOP-2.3.2-15-2016-00018",Árubeszerzés,58660166.0,HUF,HU333,2020-04-29,4.0,"12395152242,HU12395152",Rk Tech Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,33696500-0,Igen,Igen,Igen,2020-05-14,Nem,Nem,Igen,Szegedi Tudományegyetem,,Rk Tech Kft.,Kft.,-15 days,EKR001537992019_Rk Tech Kft.
