Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő,procurement_id
EKR000077602018,Budapest Főváros Vagyonkezelő Központ Zrt.,12006003241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sújtás ltp. tetőhéjazat felújítás és karbantartás,Építési beruházás,61411838.0,HUF,HU110,2018-11-16,4.0,14188330241,Perneszy Ingatlanhasznositó Kezelő Zrt,45000000-7,Nem,Igen,Igen,2018-12-02,Igen,Nem,Igen,Budapest Főváros Vagyonkezelő Központ Zrt.,Zrt.,Perneszy Ingatlanhasznositó Kezelő Zrt.,Zrt.,-16 days,EKR000077602018_Perneszy Ingatlanhasznositó Kezelő Zrt.
EKR000077602018,Budapest Főváros Vagyonkezelő Központ Zrt.,12006003241,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sújtás ltp. tetőhéjazat felújítás és karbantartás,Építési beruházás,61411838.0,HUF,HU110,2018-11-15,3.0,14188330241,Perneszy Ingatlanhasznositó Kezelő Zrt,45000000-7,Nem,Igen,Igen,2018-12-02,Igen,Nem,Igen,Budapest Főváros Vagyonkezelő Központ Zrt.,Zrt.,Perneszy Ingatlanhasznositó Kezelő Zrt.,Zrt.,-17 days,EKR000077602018_Perneszy Ingatlanhasznositó Kezelő Zrt.
EKR000462912018,Debrecen Megyei Jogú Város Önkormányzata,15735588209,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,"Debrecen, Laktanya utca felújítása",Építési beruházás,108000000.0,HUF,HU321,2018-10-11,2.0,"11705053444,01-09-930940",Strabag Általános Építő Korlátolt Felelősségű Társaság,45233228-3,Nem,Igen,Nem,2018-10-28,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Strabag Általános Építő Kft.,Kft.,-17 days,EKR000462912018_Strabag Általános Építő Kft.
EKR001634822019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,A Debreceni Csokonai Nemzeti Színház felújítása,Építési beruházás,9621995063.0,HUF,HU321,2020-06-29,2.0,"12656770209,HU12656770",Hunép Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Nem,2020-07-09,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Hunép Építőipari Zrt.,Zrt.,-10 days,EKR001634822019_Hunép Építőipari Zrt.
EKR001636192019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Latinovits Színház belső kivitelezési munkálatai,Építési beruházás,5890371984.0,HUF,HU321,2020-08-06,3.0,"12461866209,HU12461866",Társ95 Acélszerkezet És Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,45000000-7,Igen,Igen,Igen,2020-08-17,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Társ95 Acélszerkezet És Gépgyártó Építőipari Kft.,Kft.,-11 days,EKR001636192019_Társ95 Acélszerkezet És Gépgyártó Építőipari Kft.
EKR001636192019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Latinovits Színház belső kivitelezési munkálatai,Építési beruházás,5890371984.0,HUF,HU321,2020-08-06,3.0,"25098367243,HU25098367",Laterex Építő Zártkörűen Működő Részvénytársaság,45000000-7,Igen,Igen,Igen,2020-08-17,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Laterex Építő Zrt.,Zrt.,-11 days,EKR001636192019_Laterex Építő Zrt.
EKR000006912020,Budapest Főváros Xvi. Kerületi Önkormányzat,15735791242,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Budapest XVI. kerületi útépítések XLVIII.,Építési beruházás,77937493.0,HUF,HU110,2020-03-09,5.0,"10572795241,HU10572795",Swietelsky Építő Korlátolt Felelősségű Társaság,45233120-6,Nem,Igen,Nem,2020-03-16,Igen,Nem,Igen,Budapest Főváros Xvi. Kerületi Önkormányzat,,Swietelsky Építő Kft.,Kft.,-7 days,EKR000006912020_Swietelsky Építő Kft.
EKR000006912020,Budapest Főváros Xvi. Kerületi Önkormányzat,15735791242,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Budapest XVI. kerületi útépítések XLVIII.,Építési beruházás,77937493.0,HUF,HU110,2020-03-09,5.0,25362035242,Közműút J.K.K. Építő És Szolgáltató Korlátolt Felelősségű Társaság,45233120-6,Nem,Igen,Igen,2020-03-16,Igen,Nem,Igen,Budapest Főváros Xvi. Kerületi Önkormányzat,,Közműút J.K.K. Építő És Kft.,Kft.,-7 days,EKR000006912020_Közműút J.K.K. Építő És Kft.
EKR000483962018,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,10816772242,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sportliget felújítási munkái,Építési beruházás,282809114.0,HUF,HU110,2018-10-11,3.0,12278253213,"Galga Bau Termelő, Szolgáltató És Kereskedelmi Kft.",45212100-7,Nem,Igen,Igen,2018-10-23,Igen,Nem,Igen,Kőbányai Vagyonkezelő Zrt.,Zrt.,Galga Bau Termelő Kft.,Kft.,-12 days,EKR000483962018_Galga Bau Termelő Kft.
EKR000046262020,Budapest Főváros Xvi. Kerületi Önkormányzat,15735791242,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Budapest XVI. kerületi útépítések XLIX.,Építési beruházás,124076522.0,HUF,HU110,2020-04-03,5.0,25362035242,Közműút J.K.K. Építő És Szolgáltató Korlátolt Felelősségű Társaság,45233120-6,Nem,Igen,Igen,2020-04-13,Igen,Nem,Igen,Budapest Főváros Xvi. Kerületi Önkormányzat,,Közműút J.K.K. Építő És Kft.,Kft.,-10 days,EKR000046262020_Közműút J.K.K. Építő És Kft.
